Group,Include,Mechanical-N,Mechanical-Success,Mechanical-Isolation,Mechanical-Tactile-N,Mechanical-Tactile-Success,Mechanical-Tactile-Isolation,Oviposition-N,Oviposition-Success,Oviposition-Isolation,Fecundity-N,Fecundity-Success,Fecundity-Isolation,Fertility-N,Fertility-Success,Fertility-Isolation
Conspecifics-elegansXelegans-LaxeXLaxe,Y,41,34.00,0.132,34,25.00,0.206,28,25,0.032,25,89.5,0.608,25,0.737,-0.014
Conspecifics-graellsiiXgraellsii-MontalvoXMontalvo,Y,10,10.00,-0.047,10,10.00,-0.079,12,12,-0.085,12,91.9,0.597,12,0.488,0.329
Heterospecifics-elegansXgraellsii-LaxeXCachadas,Y,63,50.00,0.169,50,40.00,0.137,53,50,-0.023,50,79.9,0.650,50,0.565,0.223
Heterospecifics-elegansXgraellsii-LaxeXMontalvo,Y,34,25.00,0.230,25,18.00,0.223,13,13,-0.085,13,103.6,0.546,13,0.549,0.244
Heterospecifics-graellsiiXelegans-CachadasXLaxe,Y,19,2.00,0.890,2,1.00,0.460,0,0,NA,0,NA,NA,0,NA,NA
Postzygotics-elegansXhybrid-SymEleX(H:LaxeXCachadas),Y,4,4.00,-0.047,4,4.00,-0.079,4,4,-0.085,4,6.8,0.970,4,0.733,-0.009
Postzygotics-elegansXhybrid-SymEleX(H:LaxeXMontalvo),Y,15,11.00,0.232,11,10.00,0.019,11,9,0.113,9,124.3,0.455,9,0.649,0.108
Postzygotics-graellsiiXhybrid-SymGraX(H:LaxeXMontalvo),Y,1,1.00,-0.047,1,1.00,-0.079,1,1,-0.085,1,38.7,0.831,1,0.138,0.810
Postzygotics-hybridXelegans-(H:LaxeXMontalvo)XSymEle,Y,8,3.00,0.607,3,2.00,0.280,2,2,-0.085,2,71.2,0.688,2,0.492,0.324
Postzygotics-hybridXgraellsii-(H:LaxeXMontalvo)XSymGra,Y,5,5.00,-0.047,5,4.00,0.137,4,4,-0.085,4,110.4,0.516,4,0.072,0.901
Postzygotics-hybridXhybrid-(H:LaxeXMontalvo)X(H:LaxeXMontalvo),Y,18,16.00,0.069,16,16.00,-0.079,20,17,0.078,17,69.3,0.696,17,0.199,0.727
0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
