Pair,Group,ClutchesWEggs,EggsPerClutch,Fertility,Fertility_N
E.17.5XHF10,Postzygotics-elegansXhybrid-SymEleX(H:LouroXLanzada),2,12.5,0.48,25
F.8XD7.1,Conspecifics-elegansXelegans-LouroXLouro,3,170.667,0.783,512
F5.1X235,Heterospecifics-elegansXgraellsii-LouroXLanzada,1,72.667,0.752,218
F8.1X233,Heterospecifics-elegansXgraellsii-LouroXLanzada,3,211,0.91,633
F8.2X237,Heterospecifics-elegansXgraellsii-LouroXLanzada,0,NA,NA,NA
F8.3XK9.1,Conspecifics-elegansXelegans-LouroXLouro,3,52.667,0.759,158
G.23X75,Heterospecifics-elegansXgraellsii-LouroXCuvi,0,NA,NA,NA
H.11X41,Heterospecifics-elegansXgraellsii-LouroXLanzada,2,19,1,57
H.14X46,Heterospecifics-elegansXgraellsii-LouroXLanzada,2,100.667,0.934,302
H.A.4XA170,Postzygotics-hybridXgraellsii-(H:LouroXCenteans)XSymGra,2,77,0.565,154
H.B.2XA163,Postzygotics-hybridXgraellsii-(H:LouroXCenteans)XSymGra,3,304,0.749,912
H4.11XH4.14,Postzygotics-hybridXhybrid-(H:LouroXLanzada)X(H:LouroXLanzada),3,244,0.764,732
H4.11XH4.7,Postzygotics-hybridXhybrid-(H:LouroXLanzada)X(H:LouroXLanzada),3,133,0.654,399
H4.20XH4.15,Postzygotics-hybridXhybrid-(H:LouroXLanzada)X(H:LouroXLanzada),3,170.333,0.618,511
H4.4XH4.3,Postzygotics-hybridXhybrid-(H:LouroXLanzada)X(H:LouroXLanzada),3,206.667,0.639,620
H4.5XH4.9,Postzygotics-hybridXhybrid-(H:LouroXLanzada)X(H:LouroXLanzada),3,247.333,0.756,742
H4.6XH4.2,Postzygotics-hybridXhybrid-(H:LouroXLanzada)X(H:LouroXLanzada),1,139,0.432,139
H5.15XH4.24,Postzygotics-hybridXhybrid-(H:LouroXLanzada)X(H:LouroXLanzada),2,104.333,0.534,313
H5.33X4.24,Postzygotics-hybridXelegans-(H:LouroXLanzada)XSymEle,3,38.333,0,115
H5.33XU.24,Postzygotics-hybridXelegans-(H:LouroXLanzada)XSymEle,4,33.5,0,134
H5.3X119,Postzygotics-hybridXgraellsii-(H:LouroXLanzada)XSymGra,3,23.667,0.268,71
H5.3XH5.9,Postzygotics-hybridXhybrid-(H:LouroXLanzada)X(H:LouroXLanzada),3,150.333,0.865,451
H5.7XH4.16,Postzygotics-hybridXhybrid-(H:LouroXLanzada)X(H:LouroXLanzada),3,77.333,0.759,232
H5.8XR.4,Postzygotics-hybridXelegans-(H:LouroXLanzada)XSymEle,2,201,0.9,603
H6.1XU.27,Postzygotics-hybridXelegans-[H:E:AlloEleX(H:LouroXLanzada)]XSymEle,3,177,0.32,531
H6.3XU.14,Postzygotics-hybridXelegans-[H:E:AlloEleX(H:LouroXLanzada)]XSymEle,3,5,0,15
H6.3XX.9,Postzygotics-hybridXelegans-[H:E:AlloEleX(H:LouroXLanzada)]XSymEle,2,2,0,6
H6.5XX.16,Postzygotics-hybridXelegans-[H:E:AlloEleX(H:LouroXLanzada)]XSymEle,3,180.667,0.924,542
H6.5XX.7,Postzygotics-hybridXelegans-[H:E:AlloEleX(H:LouroXLanzada)]XSymEle,3,328.667,0.839,986
J.?XJ47,Conspecifics-elegansXelegans-LouroXLouro,0,NA,NA,NA
J.1X3,Heterospecifics-elegansXgraellsii-LouroXCenteans,2,213.667,0.66,641
J.1X5,Heterospecifics-elegansXgraellsii-LouroXCenteans,2,112.333,0.703,337
J.38XF42,Conspecifics-elegansXelegans-LouroXLouro,1,104.5,0.737,209
J.39XH13,Conspecifics-elegansXelegans-LouroXLouro,3,245.667,0.934,737
J.39XJ57,Conspecifics-elegansXelegans-LouroXLouro,1,226,0.925,226
J.3X90I,Heterospecifics-elegansXgraellsii-LouroXCenteans,0,NA,NA,NA
J.43XL38,Conspecifics-elegansXelegans-LouroXLouro,2,290,0.921,580
J.49X47,Heterospecifics-elegansXgraellsii-LouroXLanzada,3,29,0.575,87
J.49XM31,Conspecifics-elegansXelegans-LouroXLouro,3,415.333,0.954,1246
J.5.1XJ27.1,Conspecifics-elegansXelegans-LouroXLouro,0,NA,NA,NA
L.39X31,Heterospecifics-elegansXgraellsii-LouroXLanzada,0,NA,NA,NA
R.12XH5.26,Postzygotics-elegansXhybrid-SymEleX(H:LouroXLanzada),0,NA,NA,0
R.14XH4.26,Postzygotics-elegansXhybrid-SymEleX(H:LouroXLanzada),3,211,0.853,633
R.14XH5.24,Postzygotics-elegansXhybrid-SymEleX(H:LouroXLanzada),2,8.333,0.68,25
R.17XH4.27,Postzygotics-elegansXhybrid-SymEleX(H:LouroXLanzada),2,38.667,0.879,116
T1XH4.29,Postzygotics-elegansXhybrid-SymEleX(H:LouroXLanzada),3,178.333,0.725,535
T2XH4.28,Postzygotics-elegansXhybrid-SymEleX(H:LouroXLanzada),3,250.667,0.801,752
X.8XH6.4,Postzygotics-elegansXhybrid-SymEleX[H:E:AlloEleX(H:LouroXLanzada)],2,107.333,0.904,322
X.8XH7.8,Postzygotics-elegansXhybrid-SymEleX(H:LouroXLanzada),2,201,0.915,603
0,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
