Group,Include,Mechanical-N,Mechanical-Success,Mechanical-Isolation,Mechanical-Tactile-N,Mechanical-Tactile-Success,Mechanical-Tactile-Isolation,Oviposition-N,Oviposition-Success,Oviposition-Isolation,Fecundity-N,Fecundity-Success,Fecundity-Isolation,Fertility-N,Fertility-Success,Fertility-Isolation
Conspecifics-elegansXelegans-(E:BelgiumXSweden)X(E:BelgiumXSweden),N,2,2,-0.047,2,2,-0.079,4,4,-0.085,4,112.3,0.508,4,0.559,0.230
Conspecifics-elegansXelegans-(E:BelgiumXSweden)XBelgium,N,0,0,NA,0,0,NA,1,1,-0.085,1,53.7,0.765,1,0.000,1.000
Conspecifics-elegansXelegans-(E:BelgiumXSweden)XSweden,N,0,0,NA,0,0,NA,2,2,-0.085,2,92.5,0.595,2,0.571,0.214
Conspecifics-elegansXelegans-ArlesXArles,Y,3,3,-0.047,3,2,0.280,19,16,0.087,16,340.6,-0.492,16,0.729,-0.003
Conspecifics-elegansXelegans-BayonneX(E:BelgiumXSweden),N,0,0,NA,0,0,NA,1,1,-0.085,1,73.7,0.677,1,0.860,-0.183
Conspecifics-elegansXelegans-BayonneXLaigual,N,0,0,NA,0,0,NA,1,1,-0.085,1,243.3,-0.066,1,0.521,0.284
Conspecifics-elegansXelegans-BelgiumX(E:BelgiumXSweden),N,3,3,-0.047,3,2,0.280,1,1,-0.085,1,72.0,0.685,1,0.514,0.293
Conspecifics-elegansXelegans-BelgiumXBelgium,Y,8,8,-0.047,8,7,0.056,8,8,-0.085,8,167.3,0.267,8,0.594,0.182
Conspecifics-elegansXelegans-BelgiumXLaigual,N,0,0,NA,0,0,NA,1,1,-0.085,1,90.0,0.606,1,0.330,0.547
Conspecifics-elegansXelegans-BelgiumXMaraixDorx,N,0,0,NA,0,0,NA,1,1,-0.085,1,82.3,0.639,1,0.020,0.972
Conspecifics-elegansXelegans-BelgiumXSweden,Y,5,5,-0.047,5,5,-0.079,5,5,-0.085,5,268.1,-0.175,5,0.744,-0.024
Conspecifics-elegansXelegans-LaigualX(E:BelgiumXSweden),N,1,1,-0.047,1,1,-0.079,1,1,-0.085,1,147.3,0.355,1,0.964,-0.326
Conspecifics-elegansXelegans-LaigualXBayonne,N,0,0,NA,0,0,NA,1,1,-0.085,1,181.3,0.206,1,0.581,0.201
Conspecifics-elegansXelegans-LaigualXBelgium,N,1,1,-0.047,1,1,-0.079,0,0,NA,0,NA,NA,0,NA,NA
Conspecifics-elegansXelegans-LaigualXLaigual,N,0,0,NA,0,0,NA,1,1,-0.085,1,258.3,-0.132,1,0.418,0.425
Conspecifics-elegansXelegans-MaraixDorxXBelgium,N,0,0,NA,0,0,NA,1,1,-0.085,1,150.7,0.340,1,0.049,0.933
Conspecifics-elegansXelegans-MaraixDorxXSweden,N,0,0,NA,0,0,NA,1,1,-0.085,1,79.3,0.652,1,0.660,0.093
Conspecifics-elegansXelegans-SwedenX(E:BelgiumXSweden),N,0,0,NA,0,0,NA,1,1,-0.085,1,84.3,0.631,1,0.723,0.005
Conspecifics-elegansXelegans-SwedenXSweden,Y,4,3,0.215,3,3,-0.079,3,2,0.277,2,274.8,-0.204,2,0.919,-0.264
Conspecifics-graellsiiXgraellsii-AlbaXAlba,Y,0,0,NA,0,0,NA,14,13,-0.007,13,224.2,0.018,13,0.980,-0.347
Conspecifics-graellsiiXgraellsii-CachadasXCachadas,Y,11,10,0.048,10,9,0.029,10,10,-0.085,10,114.6,0.498,10,0.440,0.395
Conspecifics-graellsiiXgraellsii-RiomaiorXRiomaior,Y,14,14,-0.047,14,14,-0.079,0,0,NA,0,NA,NA,0,NA,NA
Heterospecifics-elegansXgraellsii-ArlesXCachadas,Y,7,7,-0.047,7,5,0.229,10,9,0.024,9,26.4,0.884,9,0.000,1.000
Heterospecifics-elegansXgraellsii-BelgiumXCachadas,Y,42,34,0.152,34,25,0.206,11,8,0.211,8,18.7,0.918,8,0.000,1.000
Heterospecifics-elegansXgraellsii-LaigualXCachadas,Y,6,4,0.302,4,4,-0.079,3,1,0.638,1,2.0,0.991,1,0.000,1.000
