Group,Include,Mechanical-N,Mechanical-Success,Mechanical-Isolation,Mechanical-Tactile-N,Mechanical-Tactile-Success,Mechanical-Tactile-Isolation,Oviposition-N,Oviposition-Success,Oviposition-Isolation,Fecundity-N,Fecundity-Success,Fecundity-Isolation,Fertility-N,Fertility-Success,Fertility-Isolation
Conspecifics-graellsiiXgraellsii-CachadasXCachadas,Y,3,2.00,0.333,2,1.00,0.500,1,1,0.000,1,76.3,0.694,1,0.843,0.157
Heterospecifics-elegansXgraellsii-BelgiumXCachadas,Y,42,34.00,0.190,34,25.00,0.265,11,8,0.273,8,18.7,0.925,8,0.000,1.000
Heterospecifics-elegansXgraellsii-LaigualXCachadas,Y,6,4.00,0.333,4,4.00,0.000,3,1,0.667,1,2.0,0.992,1,0.000,1.000
Heterospecifics-elegansXgraellsii-SwedenXCachadas,Y,15,13.00,0.133,13,12.00,0.077,6,1,0.833,1,15.5,0.938,1,0.000,1.000
Heterospecifics-graellsiiXelegans-CachadasXBelgium,Y,11,9.00,0.182,9,8.00,0.111,5,5,0.000,5,249.8,0.000,5,0.818,0.182
Heterospecifics-graellsiiXelegans-CachadasXMaraixDorx,Y,1,1.00,0.000,1,1.00,0.000,1,1,0.000,1,167.0,0.331,1,0.120,0.880
Postzygotics-elegansXhybrid-AlloEleX(H:BelgiumXCachadas),Y,7,7.00,0.000,7,6.00,0.143,11,10,0.091,10,69.9,0.720,10,0.042,0.958
Postzygotics-graellsiiXhybrid-AlloGraX(H:BelgiumXCachadas),Y,2,2.00,0.000,2,2.00,0.000,1,1,0.000,1,175.3,0.297,1,0.869,0.131
Postzygotics-hybridXelegans-(H:BelgiumXCachadas)XAlloEle,Y,12,9.00,0.250,9,9.00,0.000,8,5,0.375,5,18.8,0.925,5,0.000,1.000
Postzygotics-hybridXgraellsii-(H:BelgiumXCachadas)XAlloGra,Y,14,12.00,0.143,12,12.00,0.000,8,6,0.250,6,2.7,0.989,6,0.000,1.000
Postzygotics-hybridXhybrid-(H:BelgiumXCachadas)X(H:BelgiumXCachadas),Y,18,18.00,0.000,18,17.00,0.056,29,24,0.172,24,10.9,0.956,24,0.000,1.000
0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
