Group,Include,Mechanical-N,Mechanical-Success,Mechanical-Isolation,Mechanical-Tactile-N,Mechanical-Tactile-Success,Mechanical-Tactile-Isolation,Oviposition-N,Oviposition-Success,Oviposition-Isolation,Fecundity-N,Fecundity-Success,Fecundity-Isolation,Fertility-N,Fertility-Success,Fertility-Isolation
Conspecifics-elegansXelegans-BelgiumXLouro,N,1,1.00,0.000,1,1.00,0.000,0,0,NA,0,NA,NA,0,NA,NA
Conspecifics-elegansXelegans-LouroXBelgium,N,1,1.00,0.000,1,1.00,0.000,0,0,NA,0,NA,NA,0,NA,NA
Conspecifics-elegansXelegans-LouroXLouro,Y,5,3.00,0.400,3,3.00,0.000,10,8,0.200,8,200.6,0.196,8,0.8,0.172
Conspecifics-graellsiiXgraellsii-LanzadaXLanzada,Y,2,2.00,0.000,2,0.00,1.000,4,4,0.000,4,126.3,0.494,4,0.9,0.071
Heterospecifics-elegansXgraellsii-LouroXCachadas,N,0,0.00,NA,0,0.00,NA,1,0,1.000,0,NA,NA,0,NA,NA
Heterospecifics-elegansXgraellsii-LouroXCenteans,Y,0,0.00,NA,0,0.00,NA,3,2,0.333,2,163.0,0.347,2,0.7,0.319
Heterospecifics-elegansXgraellsii-LouroXCorrubedo,Y,1,1.00,0.000,1,1.00,0.000,2,2,0.000,2,84.3,0.662,2,0.4,0.597
Heterospecifics-elegansXgraellsii-LouroXCuvi,N,0,0.00,NA,0,0.00,NA,1,0,1.000,0,NA,NA,0,NA,NA
Heterospecifics-elegansXgraellsii-LouroXLanzada,Y,7,7.00,0.000,7,5.00,0.286,11,8,0.273,8,106.5,0.573,8,0.8,0.233
Heterospecifics-graellsiiXelegans-CorrubedoXLouro,Y,4,3.00,0.250,3,3.00,0.000,3,3,0.000,3,134.0,0.463,3,0.7,0.253
Heterospecifics-graellsiiXelegans-LanzadaXLouro,Y,24,1.00,0.958,1,0.00,1.000,0,0,NA,0,NA,NA,0,NA,NA
Postzygotics-elegansXhybrid-AlloEleX(H:LouroXCenteans),N,2,2.00,0.000,2,2.00,0.000,0,0,NA,0,NA,NA,0,NA,NA
Postzygotics-elegansXhybrid-AlloEleX(H:LouroXLanzada),N,2,2.00,0.000,2,2.00,0.000,0,0,NA,0,NA,NA,0,NA,NA
Postzygotics-elegansXhybrid-SymEleX(H:LouroXCenteans),Y,0,0.00,NA,0,0.00,NA,1,1,0.000,1,162.7,0.348,1,0.3,0.727
Postzygotics-elegansXhybrid-SymEleX(H:LouroXLanzada),Y,8,8.00,0.000,8,7.00,0.125,12,11,0.083,11,161.9,0.351,11,0.7,0.286
Postzygotics-elegansXhybrid-SymEleX[H:E:AlloEleX(H:LouroXLanzada)],N,0,0.00,NA,0,0.00,NA,3,3,0.000,3,164.9,0.339,3,0.8,0.250
Postzygotics-graellsiiXhybrid-SymGraX(H:LouroXLanzada),Y,6,1.00,0.833,1,0.00,1.000,0,0,NA,0,NA,NA,0,NA,NA
Postzygotics-hybridXelegans-(H:LouroXCenteans)XSymEle,Y,5,0.00,1.000,0,0.00,NA,0,0,NA,0,NA,NA,0,NA,NA
Postzygotics-hybridXelegans-(H:LouroXLanzada)XSymEle,Y,10,5.00,0.500,5,2.00,0.600,3,3,0.000,3,90.9,0.635,3,0.3,0.700
